id,row,col,lat,lon
pt_0_0,0,0,47.0,5.5
pt_0_1,0,1,47.0,6.02632
pt_0_2,0,2,47.0,6.55263
pt_0_3,0,3,47.0,7.07895
pt_0_4,0,4,47.0,7.60526
pt_0_5,0,5,47.0,8.13158
pt_0_6,0,6,47.0,8.65789
pt_0_7,0,7,47.0,9.18421
pt_0_8,0,8,47.0,9.71053
pt_0_9,0,9,47.0,10.23684
pt_0_10,0,10,47.0,10.76316
pt_0_11,0,11,47.0,11.28947
pt_0_12,0,12,47.0,11.81579
pt_0_13,0,13,47.0,12.34211
pt_0_14,0,14,47.0,12.86842
pt_0_15,0,15,47.0,13.39474
pt_0_16,0,16,47.0,13.92105
pt_0_17,0,17,47.0,14.44737
pt_0_18,0,18,47.0,14.97368
pt_0_19,0,19,47.0,15.5
pt_1_0,1,0,47.42105,5.5
pt_1_1,1,1,47.42105,6.02632
pt_1_2,1,2,47.42105,6.55263
pt_1_3,1,3,47.42105,7.07895
pt_1_4,1,4,47.42105,7.60526
pt_1_5,1,5,47.42105,8.13158
pt_1_6,1,6,47.42105,8.65789
pt_1_7,1,7,47.42105,9.18421
pt_1_8,1,8,47.42105,9.71053
pt_1_9,1,9,47.42105,10.23684
pt_1_10,1,10,47.42105,10.76316
pt_1_11,1,11,47.42105,11.28947
pt_1_12,1,12,47.42105,11.81579
pt_1_13,1,13,47.42105,12.34211
pt_1_14,1,14,47.42105,12.86842
pt_1_15,1,15,47.42105,13.39474
pt_1_16,1,16,47.42105,13.92105
pt_1_17,1,17,47.42105,14.44737
pt_1_18,1,18,47.42105,14.97368
pt_1_19,1,19,47.42105,15.5
pt_2_0,2,0,47.84211,5.5
pt_2_1,2,1,47.84211,6.02632
pt_2_2,2,2,47.84211,6.55263
pt_2_3,2,3,47.84211,7.07895
pt_2_4,2,4,47.84211,7.60526
pt_2_5,2,5,47.84211,8.13158
pt_2_6,2,6,47.84211,8.65789
pt_2_7,2,7,47.84211,9.18421
pt_2_8,2,8,47.84211,9.71053
pt_2_9,2,9,47.84211,10.23684
pt_2_10,2,10,47.84211,10.76316
pt_2_11,2,11,47.84211,11.28947
pt_2_12,2,12,47.84211,11.81579
pt_2_13,2,13,47.84211,12.34211
pt_2_14,2,14,47.84211,12.86842
pt_2_15,2,15,47.84211,13.39474
pt_2_16,2,16,47.84211,13.92105
pt_2_17,2,17,47.84211,14.44737
pt_2_18,2,18,47.84211,14.97368
pt_2_19,2,19,47.84211,15.5
pt_3_0,3,0,48.26316,5.5
pt_3_1,3,1,48.26316,6.02632
pt_3_2,3,2,48.26316,6.55263
pt_3_3,3,3,48.26316,7.07895
pt_3_4,3,4,48.26316,7.60526
pt_3_5,3,5,48.26316,8.13158
pt_3_6,3,6,48.26316,8.65789
pt_3_7,3,7,48.26316,9.18421
pt_3_8,3,8,48.26316,9.71053
pt_3_9,3,9,48.26316,10.23684
pt_3_10,3,10,48.26316,10.76316
pt_3_11,3,11,48.26316,11.28947
pt_3_12,3,12,48.26316,11.81579
pt_3_13,3,13,48.26316,12.34211
pt_3_14,3,14,48.26316,12.86842
pt_3_15,3,15,48.26316,13.39474
pt_3_16,3,16,48.26316,13.92105
pt_3_17,3,17,48.26316,14.44737
pt_3_18,3,18,48.26316,14.97368
pt_3_19,3,19,48.26316,15.5
pt_4_0,4,0,48.68421,5.5
pt_4_1,4,1,48.68421,6.02632
pt_4_2,4,2,48.68421,6.55263
pt_4_3,4,3,48.68421,7.07895
pt_4_4,4,4,48.68421,7.60526
pt_4_5,4,5,48.68421,8.13158
pt_4_6,4,6,48.68421,8.65789
pt_4_7,4,7,48.68421,9.18421
pt_4_8,4,8,48.68421,9.71053
pt_4_9,4,9,48.68421,10.23684
pt_4_10,4,10,48.68421,10.76316
